0,Types of Ingredients,What They Do,Names Found on Product Labels
1,Preservatives,Prevent food spoilage,Ascorbic acid
2,Preservatives,Prevent food spoilage,Citric acid
3,Preservatives,Prevent food spoilage,Sodium benzoate
4,Preservatives,Prevent food spoilage,Calcium propionate
5,Preservatives,Prevent food spoilage,Sodium erythorbate
6,Preservatives,Prevent food spoilage,Sodium nitrite
7,Preservatives,Prevent food spoilage,Calcium sorbate
8,Preservatives,Prevent food spoilage,Potassium sorbate
9,Preservatives,Prevent food spoilage,BHA
10,Preservatives,Prevent food spoilage,BHT
11,Preservatives,Prevent food spoilage,EDTA
12,Preservatives,Prevent food spoilage,Tocopherols (Vitamin E)
13,Preservatives,Prevent food spoilage,Tocopherols
14,Sweeteners,Add sweetness with or without the extra calories,Sucrose
15,Sweeteners,Add sweetness with or without the extra calories,Sugar
16,Sweeteners,Add sweetness with or without the extra calories,Glucose
17,Sweeteners,Add sweetness with or without the extra calories,Fructose
18,Sweeteners,Add sweetness with or without the extra calories,Sorbitol
19,Sweeteners,Add sweetness with or without the extra calories,Mannitol
20,Sweeteners,Add sweetness with or without the extra calories,Corn syrup
21,Sweeteners,Add sweetness with or without the extra calories,Saccharin
22,Sweeteners,Add sweetness with or without the extra calories,Aspartame
23,Sweeteners,Add sweetness with or without the extra calories,Sucralose
24,Sweeteners,Add sweetness with or without the extra calories,Acesulfame potassium
25,Sweeteners,Add sweetness with or without the extra calories,Acesulfame-K
26,Sweeteners,Add sweetness with or without the extra calories,Neotame
27,Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Blue Nos. 3
28,Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Blue Nos. 4
29,Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Green No. 5
30,Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Red Nos. 5
31,Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Red Nos. 42
32,Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Yellow Nos. 7
33,Color Additives,Offset color loss due to various exposures and enhance colors,FD&C Yellow Nos. 8
34,Color Additives,Offset color loss due to various exposures and enhance colors,F Orange B
35,Color Additives,Offset color loss due to various exposures and enhance colors,Citrus Red No. 4
36,Color Additives,Offset color loss due to various exposures and enhance colors,Annatto extract
37,Color Additives,Offset color loss due to various exposures and enhance colors,Beta-carotene
38,Color Additives,Offset color loss due to various exposures and enhance colors,Grape skin extract
39,Color Additives,Offset color loss due to various exposures and enhance colors,Cochineal Carmine
40,Color Additives,Offset color loss due to various exposures and enhance colors,Cochineal extract
41,Color Additives,Offset color loss due to various exposures and enhance colors,Carmine
42,Color Additives,Offset color loss due to various exposures and enhance colors,Paprika oleoresin
43,Color Additives,Offset color loss due to various exposures and enhance colors,Caramel color
44,Color Additives,Offset color loss due to various exposures and enhance colors,Fruit juice
45,Color Additives,Offset color loss due to various exposures and enhance colors,Vegetable juice
46,Color Additives,Offset color loss due to various exposures and enhance colors,Saffron
47,Color Additives,Offset color loss due to various exposures and enhance colors,Colorings
48,Color Additives,Offset color loss due to various exposures and enhance colors,Color
49,Flavors and Spices,Add specific flavors (natural and synthetic),Natural flavoring
50,Flavors and Spices,Add specific flavors (natural and synthetic),Artificial flavor
51,Flavors and Spices,Add specific flavors (natural and synthetic),Spices
52,Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Monosodium glutamate
53,Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),MSG
54,Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Hydrolyzed soy protein
55,Flavor Enhancers,Enhance flavors already present in foods (without providing their own separate flavor),Autolyzed yeast extract
